Tier,#,Page / Article,Priority,Owner,Quality Check 1,Quality Check 2,UI Done?,Progress,Type,Status,Stage,One-line description,Overlap with Michelle's guide,Supporting Links/Possible sponsors ,
Must have,0,The 2-Week Scout Trip (from India),P1,,,,,Done,Guide,New,Deciding,"B-1 trip playbook: when to time it (Tech Week), meeting density plan, what to validate before committing",Medium — she has 'visiting from out of town'; ours is India-origin (visa stamping,timing,decision goals) — keep distinct
Must-have,1,The Move Checklist (homepage),P1,,,,,Done,Interactive checklist,New — build,All,"Every task from decided-to-operating, by stage, checkable, tagged 'friend tells you' vs 'nobody tells you'",None — she has no checklist or journey structure,,
Must-have,2,Start With Your Decision,P2,,,,,Done,Index page,New — build,All,"10 decision cards (go/wait, visa path, entity, area, lease, insurance...) routing to the right guides",None,,
Must-have,3,Reality Check + Who Should NOT Move,P1,,,,,Done,Guide,Live — promote & edit,Deciding,"The honest case against, self-assessment, and the risks named plainly",None — her guide is all-positive; our counterweight IS the differentiation,,
Must-have,4,Visas for Indian Founders,P0,Suhas,,,,Done,Guide,New — write (P0),Before you fly,"B-1 scout vs O-1 vs H-1B in plain words: evidence, timelines, costs, India EB-backlog reality",Low — she links immigration vendors; we write the actual India-specific guide,VISA Agents pitch,
Must-have,5,US Entity & the Delaware Flip,P0,Suhas,,,,Done,Guide,New — write,Before you fly,"Flip vs fresh inc vs India HQ + subsidiary; ODI/FEMA rules, round-tripping test, real costs & timeline",None,Lawyer + CPA/CA ,
Must-have,6,"Money, Credit & ITIN",P0,Karan,,,,Done,Guide,Rebuild from Bank & Bureaucracy,Month 1,"Mercury remotely, SSN vs ITIN, Nova Credit (Indian credit history → US cards), LRS transfers, credit from zero",None,Scapia possibly,
Must-have,7,Banking and setting up finance in US,P1,Karan,,,,Done,,,,Setting up Banking accounts in US without a SSN,,,
Must-have,8,Healthcare & Insurance,P0,Karan,,,,Done,Guide,New — write (P0),Month 1,"The 60-day marketplace window from landing, plans without an employer, what an ER visit costs, Indian meds crossover",None,,
Must-have,9,Housing & Neighborhoods — the whole Bay,P0,Suhas,,,Done,Done,Guide,Live — heavy edit,Month 1,"Persona decision tree across SF / Peninsula / South Bay / East Bay, rental resume, no-credit workarounds, real co-living prices - Places to avoid",Medium — she owns SF-city neighborhoods; we own the full Bay incl. Fremont/Santa Clara desi hubs + Indian-specific tactics,,
Must-have,10,Networking in SF,P1,Suhas,,,Done,Done,Guide,,,What are the different ways you can network and where and through which activities ,,TPF,
Must-have,11,Travel - How to travel within SF,P0,Shonik,,,Done,Done,Guide,,,Already in SF - what are the average prices of different modes of transport and connectivity and how to effectively and efficiently travel to places in SF can add a comparison table as well,,Any app like London City Travel App,
Must-have,12,The Landing Pad Playbook (first 4 weeks),P0,Suhas,,,,Done,Guide,Split from Housing,Before you fly,"Short-term strategy: co-livings, Airbnb math, don't-sign-from-India rule, WhatsApp housing groups",Low — she lists co-living links; we give the strategy + desi channels,,
Must-have,13,Day 0–7 Checklist,P1,Shonik,,,,Done,Checklist,Live — fix links & dedupe,Week 1,"First-week sequence: SIM, cash, Clipper, bank, groceries, first event",None,,
Must-have,14,Before You Fly: Remote Setup,,Shonik,,,Done,Done,Checklist,Rebuild from SIM + paperwork,Before you fly,"Airtel/Jio roaming for OTPs, eSIM ordered, Mercury opened, IDP, documents folder — all doable from India",None — this pre-flight framing doesn't exist anywhere,,
Must-have,15,Apps to Download,P0,Suhas,,,Done,Done,Quick-reference,New — build (half day),Week 1,One-tap App Store/Play links with the 'Instacart ≈ BigBasket' India translation,None,,
Must-have,16,The Desi Directory,P1,Karan & Suhas,,,,,Directory,Merge 3 live pages,Ongoing,"Filterable DB of Desi/corridor communities, events, workspaces — TFF-vouched badges, working join links, verified dates",Managed — general communities LINK OUT to her guide (credited); we only maintain the Desi/corridor slice,Reach out to all the communities ,
Must-have,17,Live Events Calendar,P1,Together,,,,,Luma embed,New — build (half day),Ongoing,"Auto-updating calendar following ~30 curated hosts incl. Desi organizers (eChai, FUNDA, SaaSBoomi, TiE)",Low — hers is a static conference table; ours is live + Desi-weighted,Reach out to all the communities ,
Must-have,18,Emergency Contacts & Consulate,P1,Shonik,,,Done,Done,Quick-reference,Live — fix URLs,Week 1,"911/988, CGI-SF consulate, lost-passport walkthrough, downloadable wallet card / lock-screen",None,,
Must-have,19,SF Culture for Indian Founders,P1,Shonik,,,Done,Done,Guide,Live — rewrite to deliver promises,Ongoing,"The don't-pitch-first rule, small talk before asks, VC meeting etiquette, desi-specific culture shocks",None — she has tactical city tips; nobody has written the India-specific culture piece,https://jowyang.beehiiv.com/p/silicon-valley-culture?utm_source=jowyang.beehiiv.com&utm_medium=newsletter&utm_campaign=silicon-valley-culture&_bhlid=adf658026e8174bbed6a87b63389a6fb2959c44e&jwt_token=,
Must-have,20,What to do on a weekends,P1,Shonik,,,Done,Done,,,,"Hikes, Events, shows, day trips - all different things you can do around in and around the picked areas to spend the weekend ",,Reach out to all the communities ,
Must-have,21,Where to Host events,P1,Karan,,,,,,,,Good events spots where you can possibly host events ,,Can partner with certain location and offer TFF discounts,
Good to have,22,"Indian Groceries, Food & Tiffin - American equivalent of Indian stuff",P1,Suhas,,,,,Directory,Live — light edit,Ongoing,"Indian stores by area, restaurants, tiffin/meal-prep services, delivery apps",None,,
Good-to-have,23,Packing + Medications List,P1,Suhas,,,,,Quick-reference,New — half day,Before you fly,"Generic Indian meds to carry (US pharmacy reality) + first-trip packing, searchable",None,,
Good-to-have,24,Taxes Across the Corridor,P2,RallyTax,,,,,Guide,New — expert review,Operating,"India-US DTAA, RNOR status, when you need both a CA and a CPA, filing calendar",None,,
Good-to-have,25,First 10 US Customers (GTM for India→US),P1,Jellyfish. TripleDart,,,,,Guide,New,Operating,"The GTM question everyone asks TFF — discovery calls, pricing in USD, US-market signal building",None — start of the corridor content engine,,
Good-to-have,26,Hiring: US vs Keep-team-in-India,P2,Abhay Jani,,,,,Guide,New,Operating,"First US hire vs contractors vs EOR, cost math, what stage flips the answer",None,,
Good-to-have,27,Where We Actually Work,P1,Suhas & Karan,,,,,Quick-reference,New — thin slice,Ongoing,5–8 TFF-vouched workspaces/cafés where desi founders actually sit; link out to Michelle's 60+ list for the rest,Managed — link out for breadth; vouched slice only,,
Good-to-have,28,Programs & Accelerators — India-founder lens,P1,Shonik,,,Done,,Guide,New — thin slice,Operating,Which of the big programs make sense for Indian founders (visa help? relocation?) — not another list of 31,Managed — she owns the master list; we add the India lens only,,
Good-to-have,29,"SSN, ITIN & Driver's License Walkthroughs",P1,Shonik,,,Done,,Quick-reference,New,Month 1,"Step-by-step: SSA office visit, ITIN via W-7, CA DMV + Real ID with Indian documents",None,,
Good-to-have,30,Sending Money Home & NRI Banking,,Karan,,,,,Guide,New,Operating,"NRE/NRO accounts, remittances, supporting family, Wise vs bank rails",None,,
Good-to-have,31,The SF↔India Travel Playbook,P0,Jitesh,,,,,Quick-reference,New,Ongoing,"Best routings, jet-lag protocol for founder trips, what to carry each way, airport tips",None,,
Good-to-have,32,Wellness & Isolation — done properly,P2,Karan,,,,,Guide,Live — prune & rewrite,Ongoing,"South Asian-focused therapy resources, founder peer circles, the honest isolation essay",None,,
Good-to-have,33,The Give-Back Page,,,,,,,Community page,New — later,Ongoing,"How readers pay it forward: host a dinner, answer a thread, vouch a community — the TFF flywheel",None — hers is contribute-via-DM; ours is a structured loop,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
